1,Water Pitcher,PitcherAssm.STL 
2,Spray Bottle,SprayBottle.STL
3,Pringles Can,PringlesCan.STL
4,Margarita Glass,WineGlass.STL
5,Cereal Box,CerealBox.STL
6,Cracker Box,CrackerBox.STL
7,Tall Can,part not available
8,Toy Hammer,part not available
9,Remote,Remote.STL
10,Toy Plane,part not available
11,Food Clip,FoodClip.STL
12,Cooking Pan,part not available
13,Soap Dispenser,SoapDispenser.STL
14,Plastic Banana,part not available
15,Chunk of Foam,Chunk_of_foam.STL
16,Buffalo Doll,part not available
17,Ball,Ball.STL
18,Thunder Stick,ThunderStick.STL
19,Snowman,SnowMan.STL
20,koozie,part not available
21,Rope,part not available
22,Tape Roll,TapeRoll.STL
